大学名,HP,カテゴリ,監督氏名,部員数,新４年人数,新３年人数,新２年人数,新１年人数,24新入部員,25新入部員,22J内定,23J内定,24J内定,24デンソー出場,25デンソー出場,部員主な学部,面数,部員寮,施設特記事項,スポーツ推薦有無,スポーツ推薦基準評定,スポーツ推薦受入人数,セレクション有無,セレクション時期,一般入部可否,入部条件,推薦条件など　他,PLAYMAKERコメント
中京大学,https://soccer.chukyo-sports.com/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),吉井 直人,206,41,57,51,57,,,3,4,5,10,7,スポーツ科学部,1,なし,,有,,15,無,,条件有,練習参加で入試前に合格必要,,東海の名門大学でTHE体育系。部員数も多く、メンバー争いも熾烈で実力主義で入替えも多数あるため、芯の強い選手におすすめしたい。(走りも多いとの情報)学生が主体となりオフザピッチの取り組む選手会という組織があり子供向けのイベントなども開催している。関東の大学に近いイメージのチーム。人工芝１面
東海学園大学,https://www.tokaigakuen-u.ac.jp/campus_life/club/detail.html?id=50,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),安原 成泰,160,160,,,,,,3,3,2,4,5,経営学部等,1,あり,,有,,,無,,可,スポーツ推薦 or 誰でも入部可,アスリート入試,学校の中に寮とグラウンドを保有しているためサッカー漬けの生活を送れる。監督はJクラブでも指導経験を持ち、１代でこのチームを作り上げた。徹底的にボールを繋ぎどこからでも仕掛けて崩すスタイルを標ぼうし特色あるサッカーを展開。OBがコーチを務め、どのカテゴリーでもスタイルは不変。部の雰囲気は割と自由なイメージ。
名古屋経済大学,https://sc.footballnavi.jp/nagoya-ke/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),前田 拓也,79,14,7,22,36,,,0,0,0,0,0,,,,,有,,,,,,,,
愛知東邦大学,https://www.instagram.com/toho_soccer2002/,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),氏原 良二,57,8,16,13,20,,,0,0,0,0,0,,,,,有,,,,,,,,
日本福祉大学,https://www.n-fukushi.ac.jp/circle/soccer/,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),前田 仁崇,62,10,14,19,19,,,0,0,0,0,0,,,,,,,,,,,,,
四日市大学,https://www.footballnavi.jp/yokkaichi_soccer/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),桑原 和大,117,12,32,46,27,,,0,0,0,0,0,,,,,有,,30,無,,条件有,,,
中部大学,https://chubu-soccer.com/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),堀尾 郷介,62,10,14,19,19,,,0,0,1,0,2,,,,,有,,,無,,,,,
岐阜協立大学,https://www.gku-soccer.com/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),寺田 亮太,83,10,32,13,28,,,1,0,0,1,0,,,,,有,,,,,,,,
名古屋産業大学,https://www.footballnavi.jp/nsu/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),小崎 峰利,84,24,15,26,19,,,0,1,1,0,1,,,,,有,,,,,,,,
愛知学院大学,https://agufcjp.jimdoweb.com/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),三溝 隆一,89,29,17,21,22,,,0,0,0,1,0,,1,あり,寮は1人部屋でトレーニングルームも完備,有,,,有,入学後,条件有,,,
常葉大学静岡キャンパス,,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
名古屋商科大学,https://www.nucba.ac.jp/club/sports/soccer.html,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),野村 武,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
愛知大学,,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
愛知教育大学,https://www.footballnavi.jp/aue_soccer/,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),江崎 亮介,23,6,6,5,6,,,0,0,0,0,0,,,,,,,,,,,,,
静岡大学,https://shizudai-soccer.com/,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),平嶋 祐輔,56,13,8,20,15,,,0,0,0,0,0,,,,,,,,,,,,,
名城大学,https://meijosoccerclub2009.web.fc2.com/22grade_plof.html,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),坂野 公一,37,,6,20,11,,,0,0,0,0,0,,,,,,,,,,,,,
名古屋大学,,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),津山 弘之,45,,11,11,23,,,0,0,0,0,0,,,,,,,,,,,,,
南山大学,,東海２部 (https://www.notion.so/107526b151028087825fcd73449ae5af?pvs=21),,0,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
名古屋学院大学,https://www.ngu.jp/campuslife/club/competitive-sportsclubs/soccer/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),佐野 友昭,64,23,19,22,,,,0,1,0,0,0,,,,,有,,,,,,,,
岐阜聖徳学園大学,https://shotoku-soccer.com/,東海１部 (https://www.notion.so/c0397825d3974dc2995a732ae2c00741?pvs=21),難波 宏明,45,9,3,12,21,,,0,0,0,0,0,,,,,有,,,,,,,,
明治大学,http://meidaisoccer.jp/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),池上 寿之(新任),56,14,13,15,14,https://www.jufa-kanto.jp/news.php?kn=3771,,6,6,7,8,6,商学部、政治経済学部、経営学部等,1,全寮制,2023年3月に新寮完成トレーニングルームなど完備,有,3,13,有,夏,不可,練習参加 or セレクションで入試前に合格必要・入部基準高,全国出場 / 代表歴 / プレミア / プリンスベスト4以上,2023年インカレ王者。2025年に監督・ヘッドコーチが変更になり、新たな体制での活動をスタートする。サッカーでの指導はもちろん、人としての指導に特に重きを置いている。少数精鋭でポジション争いが激しい。全寮制かつ早朝練習が基本ということもあり、自分の時間をどうコーディネートするかを突き詰め、心身共に鍛えている、クリーンな体育会の象徴。意識が高い選手がそろい成長するには最適な環境であることは間違いない。2023年3月に新寮が新設され最新鋭の施設が揃う。練習参加を経て、7月末のセレクションで次年度入部者が決定となるため、そこまでは確定できない
東京国際大学,https://www.tiu.ac.jp/sports/football/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),前田 秀樹,414,102,103,119,90,,,6,1,6,2,0,人間社会学部、商学部、国際関係学部等,2,あり,施設充実,有,3,100,有,夏,不可,練習参加で合格できれば入部可(例年100名程度),,部員の多さが目を引くが、その中でも全チーム公式戦ができる状態を準備。(社会人、Ｉリーグなど) 指導者は元Ｊリーガーが多く、必ず各カテゴリーに帯同している。それもあり下のカテゴリーからの吸い上げられることも。監督はJ監督経験者でTOPチームはプロに近い雰囲気で活動している。ピッチ外の規則もそこまで厳しくない印象人工芝3面に加え、トレーニングルームやロッカーを完備したクラブハウスなど充実した施設は一見の価値あり。
筑波大学,https://www.tsukubashukyu.com/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),小井土 正亮,188,48,31,58,51,"https://www.jufa-kanto.jp/news.php?kn=3775
",,3,3,7,10,7,"体育専門学群, 人文・文化学群, 人間学群,  理工学群, 情報学群, 医学群,等",1,なし,人工芝張替え済み,有,,5,無,,可,スポーツ推薦難(数枠/体育) / 入学できれば入部可,推薦＝国際大会(代表)、全国ベスト16以上,ピッチ内外で大学サッカーを牽引しているトップランナー。社会人は監督(助教/J指導経験有)のみでその他はサッカーを研究する大学院生が担当。指導や分析、イベント運営、スポンサー営業などオフザピッチでの活動も精力的で様々な角度からサッカー界に関わるOBが多い。一般入部生が多いが、真摯にサッカーに取り組む。選手はもちろんだが指導者やサッカーに関わる仕事がしたい選手は必ずチェックすべし。スポーツ推薦は日本のTOP5が利用するといっても過言ではない。
桐蔭横浜大学,http://soccer.toin.ac.jp/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),安武 亨,81,20,21,17,23,"https://www.jufa-kanto.jp/news.php?kn=3773
",,13,2,7,5,4,スポーツ健康政策学部,1,なし,,有,,22,有,夏,不可,練習参加 or セレクションで入試前に合格必要(20名程度),セレクション参加必須 / マネージャー推薦あり,2022年冬の全国大会日本一を果たした、強豪大学。毎年レベルの高い選手が多く入部し、2022年は13名もの選手がJリーガーとなった。選手の自由な発想を大切にしており、厳しく縛り付けることも少ない印象。Bチームは関東社会人1部で戦うなど、レベルの高い試合経験を積むことができる。スポーツ健康政策学部では小学校教員免許をはじめ、中高体育教員免許も取得できる。またマネージャー推薦(学部指定)があるのも特徴的
国士館大学,https://www.footballnavi.jp/kokushikan-univ/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),細田 三二,147,40,33,51,23,,,6,4,4,1,4,体育学部,2,あり,,有,3,13,有,夏,不可,,,Jリーガーをはじめ、多くの体育教員を輩出している体育系の名門大学。「相手よりも1歩でも多く、１歩でも早く」というチームスローガンがぴったり合う切替えが早く、強度が高いサッカーを展開。寮近くにグラウンドやトレーニングルームが有しており、サッカー漬けの毎日を送れる。合宿などは行っていないのも特徴的。練習の強度が高く激しく日々の練習が国士館大学の強さを支えている。
東洋大学,https://toyo-footballclub.jp/mens/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),井上 卓也,63,14,14,18,17,https://www.jufa-kanto.jp/news.php?kn=3779,,7,3,7,5,3,国際観光学部,1,なし,夕補食提供(有料),有,3,15,無,,不可,練習参加で入試前に合格必要,指導者から大学スタッフへ連絡,少人数で鍛えている大学。寮制ではなく自由も多く、J指導経験やシンガポール年代別代表監督経験を持つ監督が指導にあたり洗練したサッカーを展開。技術的に高い選手が集まる印象。近年は関東2部上位以上はキープしており、自力のある大学。練習後の補食(有料)を提供していたりとサポートも手厚い。ユース出身選手が部員の半数以上を占めるのも大きな特徴。
流通経済大学,https://www.rku-fc.jp/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),中野 雄二,269,67,63,74,65,,,3,0,5,7,2,スポーツ健康科学部,3,全寮制,施設面全国TOPクラス,有,,60,有,年数回開催,不可,練習参加 or セレクションで入試前に合格必要(60名程度),,THEプロ選手養成大学。200名の大所帯ながら全寮制で、熾烈な争いが待っている。人数も多く、意識高く鍛えている選手もいればメンタル的に腐りぎみの選手もおり、選手自身の意識の高さをどれくらい継続できるかが鍵になりそう。サッカーに懸ける、自分を律せて厳しい環境に身を置きたい選手はおすすめ。
中央大学,https://www.chuo-u.ac.jp/activities/club/sports/sports14/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),宮沢 正史,99,25,28,22,24,https://www.jufa-kanto.jp/news.php?kn=3738,https://www.jufa-kanto.jp/news.php?kn=4085,3,5,5,2,4,経済学部、商学部等,1,あり,,有,3,10,無,,条件有,スポーツ推薦10枠程度＋一般推薦 / 入試前の練習参加で合格必要,全国大会出場 / それ同等の成績,部運営自体は厳しく縛るスタイルではなく比較的選手の自主性に任されており、どのカテゴリーもチーム全体で応援をするなど、一体感がある。総監督は長年大学サッカー界にいることからJクラブとのパイプも強く、監督はFC東京で活躍した宮沢氏がFC東京から派遣で担当している。攻撃的なスタイルが魅力。地域との繋がりも大切にしており、子供達にサッカーのおもしろさを伝える『青空たいそう』などを実施している。
日本大学,https://www.nu-soccer.com/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),川津 博一,77,20,17,20,20,https://www.jufa-kanto.jp/news.php?kn=3762,,1,1,3,3,2,法学部、文理学部、経済学部、スポーツ科学部等,1,全寮制,施設充実,有,3,10,有,夏,不可,練習参加 or トライアウトで入試前に合格必要,都道府県ベスト4以上、都道府県選抜歴 他,2023年に18年ぶりに関東1部に復帰。グラウンドやトレーニング施設が同敷地内にあり、トレーニングに集中できる超充実した環境が用意。徒歩圏内で移動できるとてもきれい寮も構えている。入部に際してはプレーレベルはもちろん、人間性をとても重要視しており、オフザピッチの規則も厳しく設定されている。主体的に取り組める選手が集まっている。
東海大学,https://tokaiunivfc.jimdofree.com/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),今川 正浩,104,27,23,22,32,https://www.jufa-kanto.jp/news.php?kn=3778,,1,0,1,1,2,体育学部、工学部、政治経済学部等,1,あり,,有,3,20,無,,条件有,練習参加 or セレクションで入試前に合格必要(20名程度),,入れ替え戦を制し関東1部に昇格。寮も完備し、日本最大規模のトレーニング施設も充実しており最先端の設備が揃う。堅守速攻を標ぼうし、フィジカルを活かしたプレス強度の高いサッカーを展開している。
日本体育大学,http://www.nittaidai-fc.com/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),矢野 晴之介,205,48,46,68,43,,,3,0,3,1,1,体育学部,1,あり,,有,3,30,無,,条件有,練習参加で入試前に合格必要 / 入学後セレクション,全国大会出場以上,専属のスカウトを配置しスカウティングも強化。これまで1面で300名程度の部員数で活動していたが、人数を絞りはじめていることから改善の見込み。サッカー以外でもトップアスリートが多く刺激をもらえることも。コーチングの授業もあるので教員や指導者志望にはおすすめ。教員や指導者のOBネットワークは強固で広く、指導者も視野に入れる選手は一考すべき。
慶應義塾大学,http://keio-soccer.com/,関東１部 (https://www.notion.so/921803abde9944e799ea147b871358f0?pvs=21),中町 公佑,110,21,28,25,36,,,0,0,1,1,1,環境情報学部、商学部、総合政策学部等,1,大学寮,,無,,,無,,条件有,入学後にランテストあり,AO入試の難易度も高い現役生によるサポートも行っている,2024年関東2部昇格。関東の超名門大学。学力・成績で入学ができないと入部は難しく、カテゴリーによって多少のレベル差がある。学生主体で部運営をしており、分析やイベント、チームマネジメントなどすべて学生が担っており、意識が高い学生が揃う。監督はOBが担当し、伝統を継承している
関東学院大学,https://kgufootballclub.com/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),奈良 安剛,83,24,26,18,15,https://www.jufa-kanto.jp/news.php?kn=3739,https://www.jufa-kanto.jp/news.php?kn=4081,3,5,3,1,0,経済学部、経営学部、人間共生学部等,1,なし,,有,3,15,有,夏,条件有,練習参加 or セレクションで入試前に合格必要(25名程度),,2024年関東1部昇格。横浜Fマリノスと提携しており、マリノスの育成で指導していた監督やコーチが出向で担当している。またエリートリーグや練習参加なども行われており、過去2名が入団している。それ以外にもこの8年で関東2部ながら20名弱のJリーガーを輩出している。これほどJ1クラブと密接に関係しているチームはないのでは。満を持して関東1部へ挑戦する。
法政大学,https://hoseifc.com/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),,59,15,15,15,14,https://www.jufa-kanto.jp/news.php?kn=3748,https://www.jufa-kanto.jp/news.php?kn=4082,9,7,6,3,5,現代福祉学部、社会学部、経済学部等,1,全寮制,2021年人工芝張替え,有,3,13,有,夏,不可,練習参加 or セレクションで入試前に合格必要・入部基準高,,全寮制をしき、選手としっかり向き合うために少人数で活動している。寮でも規則がしっかりしており人としての成長も望める。専属のスカウトがおり、個性ある選手をピックアップし卒業後にプロを輩出するのではなく、プロで活躍する選手育成を目指している。学年の垣根を越えてみんな仲が良いのが特徴としてあげられる。2024年は関東2部での戦いになるが、間違いなく、関東TOPレベルの選手が集まる。
順天堂大学,http://juntendo-football.com/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),日比 威,162,54,49,48,11,https://www.jufa-kanto.jp/news.php?kn=3788,,5,0,3,1,3,スポーツ健康科学部,1,全寮制,学部により1年次全寮,有,3,14,無,,可,スポーツ推薦難 / 入学できれば入部可(今後制限の可能性あり),全国大会出場 / それ同等の成績,2024年に新監督として帝京高校で指導をしていたレジェンドOBである日比監督が就任。体制も一新し新たな船出となる。多くのJリーガーや教員を輩出している伝統校。これまでは常勤スタッフが少なかったが、全カテゴリーしっかり指導をしていた。TOPチームのレベルが高く年代別代表経験者など有力者を抱えている。監督が代わり、新チームがどうなっていくかは2024年の動向を注視していくべき。
早稲田大学,https://www.waseda-afc.jp/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),兵藤　慎剛,93,24,17,24,28,https://www.jufa-kanto.jp/news.php?kn=3761,,7,4,2,1,4,スポーツ科学部、教育学部等,1,あり,,無,3.5,,有,入学後,条件有,総合型入試 or 一般入試 / 入部テストあり ＝ スポーツ推薦なし,推薦を含めた入試の合格が必要,日本を代表する名門校。大学入学後に入部までにランテストとしっかり取り組めるかを判断する仮入部期間がありそれを超えないと練習生のまま。サッカー以外でも選手が主体となり様々な活動をしており、意識も高いことから人としての成長できる環境。スポーツ推薦は数名分存在するものの、各部との兼ね合いなどもあり、合格は確約されておらず、普通に落ちることもある。実績面や面接・小論文によって決まる。そこに挑むまでのサポートは大学サッカー部がでもしている。
立正大学,https://www.ris.ac.jp/sports/soccer/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),杉田 守,69,18,17,18,16,https://www.jufa-kanto.jp/news.php?kn=3780,,6,4,7,1,1,地球環境科学部,1,全寮制,大学内に寮あり,有,3,15,無,,不可,練習参加 or セレクションで入試前に合格必要(15名程度),,全寮制で都心から少し離れた大学敷地内(東松山/埼玉)にすべてが揃い、規則面もしっかり設定されているためまさしくサッカーに打ち込める環境。少人数ながらスタッフも充実している。監督はマネジメント中心でサッカー面はヘッドコーチが担当している。
神奈川大学,https://football.ku-sports.jp/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),大森 酉三郎,59,14,16,15,14,https://www.jufa-kanto.jp/news.php?kn=3737,https://www.jufa-kanto.jp/news.php?kn=4083,2,0,0,0,0,人間科学部、経営学部等,1,全寮制,,有,,15,有,入学後,条件有,入試前にセレクション or 練習参加必須,スポーツ重点強化部入試のみ,2024年関東2部昇格。オフザピッチの取り組みで近年注目されている大学。全寮制で過疎化している団地を借り上げていたり、農作業を行ったりと特色ある活動を行っている。少人数で活動しており、スタッフの対応を手厚く人間教育にとても熱心。入学後のセレクションはあるものの、入部許可者がいない場合が多く、基本はスポーツ推薦の選手を中心に構成されている。
拓殖大学　,https://www.footballnavi.jp/takushoku-univ/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),玉井 朗,328,69,75,94,90,"https://www.jufa-kanto.jp/news.php?kn=3754
",,4,4,0,0,0,政治経済学部、商学部等,2,なし,,有,3,10,有,夏,可,スポーツ推薦10枠程度 / 入学できれば入部可,都道府県⼤会ベスト８以上,2024年関東2部降格。関東上位校では珍しい、誰でも入部できるチーム。そのため近年部員数が増加している。またスタイルもはっきりしており、パスを丁寧に繋ぎ崩すことを徹底。比較的自由なスタイルで純粋にサッカーが好きな選手が多い印象。その反面、部員数増加に伴い、下のカテゴリーは学生コーチが担当することもあるとか。他に比べるとレベルが高いのに入部しやすいが、自分をしっかり持っていないと埋もれてしまうリスクも一考すべき。
産業能率大学,https://www.sanno.ac.jp/undergraduate/campuslife/club/soccer/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),小湊 隆延,115,27,26,30,32,https://www.jufa-kanto.jp/news.php?kn=3763,https://www.jufa-kanto.jp/news.php?kn=4092,3,0,2,1,0,情報マネジメント学部,1,あり,,有,3,30,有,夏,不可,練習参加 or セレクションで入試前に合格必要,情報マネジメント学部のみ,湘南ベルマーレと提携しており数名のスタッフが出向している。各カテゴリーに担当コーチがついておりしっかり対応している。また大学の就職サポートが手厚く、高い就職率を誇っている。関東2部に定着しており、プロ選手もほぼ毎年輩出している。
山梨学院大学,https://www.ygu.ac.jp/sports/soccer/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),岩渕 弘幹,192,29,48,56,59,https://www.jufa-kanto.jp/news.php?kn=3751,https://www.jufa-kanto.jp/news.php?kn=4089,3,2,1,1,1,スポーツ科学部,1,なし,施設充実,有,,30,有,夏,不可,練習参加 or セレクションで入試前に合格必要(30名程度),,2023年関東2部昇格。スタッフが一新されて数年で総理大臣杯出場、関東リーグ昇格を成し遂げた。専修大学の関東リーグ4連覇の際、ヘッドコーチとして指導していた岩渕監督をはじめ経験豊富なスタッフが選手と向き合いながら日々活動している。トレーニング施設やグラウンドなどの施設面も充実している。近年プロ選手の輩出もよく聞く様になり、今後の躍進が期待されるチーム。2023年は関東2部3位となり、1部との入れ替え戦まで進出した。
國學院大學,https://www.kokugakuin-fc.com/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),白須 真介,94,33,28,26,7,https://www.jufa-kanto.jp/news.php?kn=3755,,0,0,0,0,0,経済学部、文学部等,1,なし,,有,3,8,有,夏,条件有,スポーツ推薦(8枠程度) / 入学後に練習参加 or セレクションあり,,2023年関東3部昇格。攻撃＝プレッシングを標ぼうする強度の高いサッカーを目指す。学生主体で様々な地域活動やSNSの発信強化も実施大学的にも人気が高く、スポーツ推薦の倍率はかなり高くなっている。練習参加からの入部とセレクションからの入部のパターンがあるが、セレクションまでに早期に練習参加をすることをおススメする。
東京農業大学,https://tuafc.cs-park.jp/,関東２部 (https://www.notion.so/8dd308de341340b1bda48ee99560ed37?pvs=21),児玉 宗土,81,19,11,20,31,https://www.jufa-kanto.jp/news.php?kn=3774,,0,0,1,0,0,農学部、地球環境科学部等,1,なし,,有,3.2,7,有,夏,条件有,練習参加 or セレクションで入試前に合格必要(15名程度),,2023年関東3部昇格。Iリーグや社会人リーグにも所属し、試合機会が多いのが特徴。世田谷キャンパスにグラウンドがあり（小田急線千歳船橋駅）都内中心地にグラウンドを持つ稀有な学校。スポーツ推薦枠に限りがあるが、平均評定3.6以上あれば一般推薦入試でも可能性が出てくる
城西大学,https://josaifc.jp/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),東海林 毅,107,26,26,26,29,https://www.jufa-kanto.jp/news.php?kn=3769,https://www.jufa-kanto.jp/news.php?kn=4086,0,0,1,0,0,現代政策学部、経営学部等,2,なし,近年、新グラウンド完成,有,3,25,有,夏,不可,練習参加 or セレクションで入試前に合格必要,,2024年関東2部昇格。数年前に立正大学でヘッドコーチを務めた東海林監督が就任し少しずつ変革を行っている。新たにグラウンド2面やクラブハウスが新設され、整った環境の中でハードワークするチームづくりを慣行中。選手獲得の際は人間性も重視している。
立教大学,https://rikkyo-soccer.com/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),飛田 晃典,157,35,36,37,49,https://www.jufa-kanto.jp/news.php?kn=3790,https://www.jufa-kanto.jp/news.php?kn=4087,0,1,3,0,0,経営学部、法学部、現代心理学部等,1,なし,埼玉県富士見にスポーツ施設を保有。クラブハウスおよび人工芝,有,3.5,,無,,可,入学後に練習参加可 / アスリート入試あるがサッカー部確定枠がない,アスリート入試 3.5以上 全国ベスト16以上,2024年関東3部に降格。埼玉県富士見市に広大なクラブハウスやグラウンドなどを有している。関東リーグでは珍しい誰でも入部できるチーム。2024年からOBで現役時代から学生コーチとして指導にあたる若手の飛田氏監督に就任。チームの一体感を大切にしながら活動している。総監督はFC東京でヘッドコーチやユース監督を務めていた、倉又氏。スポーツ推薦はあるものの、実績面でも全国ベスト4クラスの成績が必要になる。またAO入試で入学する際も平気評定3.5および各都道府県ベスト8以上、英検準2級以上など出願条件があるので注意。(あくまでも出願条件のため、よりよい学校成績と全国ベスト16以上程度の実績は必要になりそう)
明治学院大学,https://mgufc.jp/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),古賀 聡,105,31,18,26,30,https://www.jufa-kanto.jp/news.php?kn=3809,,0,0,0,0,0,文学部、経済学部等,1,なし,,無,,,有,入学後,条件有,入試前の練習参加 / 入学後セレクションあり,,2023年関東3部降格。スポーツ推薦がなく、指定校や総合選抜入試等での入学が必要になる。グラウンドが他部併用で人工芝1面とキャンパスから離れたところにある土のグラウンドを活用しながら活動している。(戸塚周辺)これまでは誰でも入部できたが、近年は入学後にセレクションを実施し人数を絞り始めている。監督は今年から早稲田大学で長年監督を務め、名古屋グランパスU-18で監督をしていた古賀氏が就任
国際武道大学,https://ibu-fc.localinfo.jp/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),髙安 亮介,148,42,37,44,25,,,0,0,0,0,0,体育学部等,1,なし,学内人工芝,有,,40,無,,可,スポーツ推薦の場合入試前に練習参加必須,特待についてはスタッフが決定する,2024年関東3部昇格。千葉のはずれにある体育大学。トレーナー養成にも力をいれており、学生スタッフも多くかかわる。監督は市船OBで武大出身。学生と近い目線で、熱く指導している。真面目な選手が多く、一人暮らしをしながら集中して体育を学びたい選手にはおすすめ。(特待あり)
青山学院大学,https://www.footballnavi.jp/aogaku-soccer/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),清水 厚,91,27,24,23,17,https://www.jufa-kanto.jp/news.php?kn=3789,,0,0,0,0,0,"総合文化政策学部、教育人間科学部、経営学部等 ",1,なし,,有,3.5,5,無,,可,練習参加で入試前に合格必要,全国大会ベスト8 / 都道府県大会準優勝以上,2024年関東3部降格。相模原で活動しており、グラウンドにはトレーニングルームなど施設面充実している。技術的に高い選手が多く、ボールを大切にするサッカーを展開している。朝練が基本で夕方以降の時間を自由に使うことができる。ピッチ内外ともに厳しく縛られるイメージはなく、選手に自由が与えれている印象。卒業生では海外でプレーする選手もおり、毎年数名はサッカーを続ける。
亜細亜大学,https://www.asia-u.ac.jp/sports/athletics/soccer/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),小島 徹,82,9,14,25,34,https://www.jufa-kanto.jp/news.php?kn=3770,,0,0,0,0,0,経営学部、経済学部、法学部等,1,あり,,有,2.7,10,無,,不可,練習参加で入試前に合格必要(10名程度),,2024年関東3部降格。少人数で活動しているため、1年生でも試合に絡むチャンスがある。縦に早くサッカーを展開するのが特徴。2022年に練習場がある日の出キャンパス内にトレーニングセンターが新設され、鍛える環境がさらに整っている。
作新学院大学,https://www.footballnavi.jp/sakushin-gakuin/news_list.php,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),横濱 誠,113,19,28,34,32,,,1,0,0,0,0,経営学部、人間文化学部等,1,なし,,有,,30,無,,不可,練習参加で入試前に合格必要(30名程度),特待あり,2024年関東3部降格。近年スカウティングにも力をいれており、能力の高い選手が増えており攻撃的なサッカーを展開いわきFCへレンタル移籍を行った実績があったり、卒業後社会人でプレーを継続する選手も増えている。スポーツ系の学部がある
中央学院大学,https://www.cgu.ac.jp/cgu-sc/sports/soccer/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),西 孝幸,149,27,36,33,53,,,1,0,0,0,0,商学部、法学部,1,なし,,有,,30,有,夏,不可,入試前に練習参加必須,特待あり,2023年関東3部昇格。監督は関西大学OBで人間力も重視。近年企業との協力でコンディショニングやフィジカル強化にも力を入れている。附属高校のドリブルや個人技術を高めるスタイルのイメージが強いが、大学はそちらに重きをおいているわけではない。
専修大学,http://senshu-fc.com/,関東３部 (https://www.notion.so/475a7cac590f4eb391c783f1e48a01e7?pvs=21),東 大樹,114,27,35,27,25,http://senshu-fc.com/player/,,3,2,3,0,0,経済学部等,1,なし,,有,3.2,11,有,,条件有,スポーツ推薦あり / 入学後に練習参加 or セレクションあり,二日間の練習参加で判断,2023年関東3部昇格。過去、関東4連覇を成し遂げたこともある強豪大学。基本朝練で攻撃的なサッカーを展開している。Jリーガーも多く輩出している。指導面は今シーズンから市船OBで市船でも指導をしていた佐藤陽彦氏が就任。県リーグ所属ながら3名のJリーガーを輩出したレベルが高い大学
